  YEAR MON DAY  INDEX    DOSE CODE
  N/A- no data: MOD-reconstructed value: OBS-observation: Modelled UVI not reliable
 1983   1   1 -1.000   -1.00  N/A
 1983   1   2 -1.000   -1.00  N/A
 1983   1   3 -1.000   -1.00  N/A
 1983   1   4 -1.000   -1.00  N/A
 1983   1   5 -1.000   -1.00  N/A
 1983   1   6 -1.000   -1.00  N/A
 1983   1   7 -1.000   -1.00  N/A
 1983   1   8 -1.000   -1.00  N/A
 1983   1   9 -1.000   -1.00  N/A
 1983   1  10 -1.000   -1.00  N/A
 1983   1  11 -1.000   -1.00  N/A
 1983   1  12 -1.000   -1.00  N/A
 1983   1  13 -1.000   -1.00  N/A
 1983   1  14 -1.000   -1.00  N/A
 1983   1  15 -1.000   -1.00  N/A
 1983   1  16 -1.000   -1.00  N/A
 1983   1  17 -1.000   -1.00  N/A
 1983   1  18 -1.000   -1.00  N/A
 1983   1  19 -1.000   -1.00  N/A
 1983   1  20 -1.000   -1.00  N/A
 1983   1  21 -1.000   -1.00  N/A
 1983   1  22 -1.000   -1.00  N/A
 1983   1  23 -1.000   -1.00  N/A
 1983   1  24 -1.000   -1.00  N/A
 1983   1  25 -1.000   -1.00  N/A
 1983   1  26 -1.000   -1.00  N/A
 1983   1  27 -1.000   -1.00  N/A
 1983   1  28 -1.000   -1.00  N/A
 1983   1  29 -1.000   -1.00  N/A
 1983   1  30 -1.000   -1.00  N/A
 1983   1  31 -1.000   -1.00  N/A
 1983   2   1 -1.000   -1.00  N/A
 1983   2   2 -1.000   -1.00  N/A
 1983   2   3 -1.000   -1.00  N/A
 1983   2   4 -1.000   -1.00  N/A
 1983   2   5 -1.000   -1.00  N/A
 1983   2   6 -1.000   -1.00  N/A
 1983   2   7 -1.000   -1.00  N/A
 1983   2   8 -1.000   -1.00  N/A
 1983   2   9 -1.000   -1.00  N/A
 1983   2  10 -1.000   -1.00  N/A
 1983   2  11 -1.000   -1.00  N/A
 1983   2  12 -1.000   -1.00  N/A
 1983   2  13 -1.000   -1.00  N/A
 1983   2  14 -1.000   -1.00  N/A
 1983   2  15 -1.000   -1.00  N/A
 1983   2  16 -1.000   -1.00  N/A
 1983   2  17 -1.000   -1.00  N/A
 1983   2  18 -1.000   -1.00  N/A
 1983   2  19 -1.000   -1.00  N/A
 1983   2  20 -1.000   -1.00  N/A
 1983   2  21 -1.000   -1.00  N/A
 1983   2  22 -1.000   -1.00  N/A
 1983   2  23 -1.000   -1.00  N/A
 1983   2  24 -1.000   -1.00  N/A
 1983   2  25 -1.000   -1.00  N/A
 1983   2  26 -1.000   -1.00  N/A
 1983   2  27 -1.000   -1.00  N/A
 1983   2  28 -1.000   -1.00  N/A
 1983   3   1 -1.000   -1.00  N/A
 1983   3   2 -1.000   -1.00  N/A
 1983   3   3  0.129   18.33  MOD
 1983   3   4 -1.000   -1.00  N/A
 1983   3   5  0.123   17.99  MOD
 1983   3   6  0.139   20.19  MOD
 1983   3   7 -1.000   -1.00  N/A
 1983   3   8 -1.000   -1.00  N/A
 1983   3   9  0.184   27.54  MOD
 1983   3  10  0.199   29.97  MOD
 1983   3  11  0.201   30.79  MOD
 1983   3  12 -1.000   -1.00  N/A
 1983   3  13  0.236   36.74  MOD
 1983   3  14  0.252  115.92  MOD
 1983   3  15  0.248   42.74  MOD
 1983   3  16 -1.000   -1.00  N/A
 1983   3  17 -1.000   -1.00  N/A
 1983   3  18  0.340   59.71  MOD
 1983   3  19  0.324   58.79  MOD
 1983   3  20 -1.000   -1.00  N/A
 1983   3  21  0.388  208.10  MOD
 1983   3  22  0.344   65.61  MOD
 1983   3  23  0.408  217.84  MOD
 1983   3  24 -1.000   -1.00  N/A
 1983   3  25  0.405   76.85  MOD
 1983   3  26  0.490  288.27  MOD
 1983   3  27  0.525  286.90  MOD
 1983   3  28 -1.000   -1.00  N/A
 1983   3  29  0.538  300.84  MOD
 1983   3  30  0.588  359.47  MOD
 1983   3  31  0.575  294.95  MOD
 1983   4   1 -1.000   -1.00  N/A
 1983   4   2  0.629  385.30  MOD
 1983   4   3  0.715  455.44  MOD
 1983   4   4  0.635  333.35  MOD
 1983   4   5 -1.000   -1.00  N/A
 1983   4   6  0.833  555.35  MOD
 1983   4   7  0.696  158.58  MOD
 1983   4   8  0.814  176.35  MOD
 1983   4   9 -1.000   -1.00  N/A
 1983   4  10 -1.000   -1.00  N/A
 1983   4  11  1.092  756.48  MOD
 1983   4  12  0.904  208.06  MOD
 1983   4  13 -1.000   -1.00  N/A
 1983   4  14  1.024  355.14  MOD
 1983   4  15  1.070  733.56  MOD
 1983   4  16  1.090  383.59  MOD
 1983   4  17 -1.000   -1.00  N/A
 1983   4  18  1.082  264.74  MOD
 1983   4  19  1.248  884.22  MOD
 1983   4  20  1.329  978.18  MOD
 1983   4  21 -1.000   -1.00  N/A
 1983   4  22  1.469 1072.32  MOD
 1983   4  23  1.395  927.89  MOD
 1983   4  24  1.358  811.18  MOD
 1983   4  25 -1.000   -1.00  N/A
 1983   4  26  1.274  619.01  MOD
 1983   4  27  1.336  350.40  MOD
 1983   4  28  1.642 1277.19  MOD
 1983   4  29 -1.000   -1.00  N/A
 1983   4  30  1.785 1412.83  MOD
 1983   5   1  1.459  383.24  MOD
 1983   5   2  1.559  935.98  MOD
 1983   5   3 -1.000   -1.00  N/A
 1983   5   4 -1.000   -1.00  N/A
 1983   5   5  1.564  828.16  MOD
 1983   5   6  1.694 1036.98  MOD
 1983   5   7 -1.000   -1.00  N/A
 1983   5   8  1.851  501.87  MOD
 1983   5   9  1.895  516.02  MOD
 1983   5  10  1.948  546.46  MOD
 1983   5  11 -1.000   -1.00  N/A
 1983   5  12  2.425 2015.65  MOD
 1983   5  13  2.508 2066.89  MOD
 1983   5  14  2.545 2106.68  MOD
 1983   5  15 -1.000   -1.00  N/A
 1983   5  16  2.190  630.96  MOD
 1983   5  17  2.285 1555.27  MOD
 1983   5  18  2.310  644.85  MOD
 1983   5  19 -1.000   -1.00  N/A
 1983   5  20  2.620 1989.45  MOD
 1983   5  21  2.409  679.84  MOD
 1983   5  22  2.411  691.85  MOD
 1983   5  23 -1.000   -1.00  N/A
 1983   5  24  2.989 2677.39  MOD
 1983   5  25  2.846 2243.66  MOD
 1983   5  26  2.734 2222.13  MOD
 1983   5  27 -1.000   -1.00  N/A
 1983   5  28 -1.000   -1.00  N/A
 1983   5  29  2.677  763.57  MOD
 1983   5  30  2.457  743.54  MOD
 1983   5  31 -1.000   -1.00  N/A
 1983   6   1  2.903 2537.97  MOD
 1983   6   2  2.663 1830.71  MOD
 1983   6   3  2.937 2565.48  MOD
 1983   6   4 -1.000   -1.00  N/A
 1983   6   5  2.928 2763.34  MOD
 1983   6   6  2.974 2743.39  MOD
 1983   6   7  2.990 2328.50  MOD
 1983   6   8 -1.000   -1.00  N/A
 1983   6   9  2.823 2098.86  MOD
 1983   6  10  2.923 2123.12  MOD
 1983   6  11  2.778  836.76  MOD
 1983   6  12 -1.000   -1.00  N/A
 1983   6  13  2.739  825.57  MOD
 1983   6  14  2.609  788.00  MOD
 1983   6  15  2.620 1938.55  MOD
 1983   6  16 -1.000   -1.00  N/A
 1983   6  17  2.522 2137.63  MOD
 1983   6  18  2.823 2543.14  MOD
 1983   6  19  2.696 2423.89  MOD
 1983   6  20 -1.000   -1.00  N/A
 1983   6  21 -1.000   -1.00  N/A
 1983   6  22  2.764 1335.64  MOD
 1983   6  23  2.980 1362.79  MOD
 1983   6  24 -1.000   -1.00  N/A
 1983   6  25  2.676  826.86  MOD
 1983   6  26  2.732  842.99  MOD
 1983   6  27  2.628  822.82  MOD
 1983   6  28 -1.000   -1.00  N/A
 1983   6  29  2.835 2753.86  MOD
 1983   6  30  3.091 2761.35  MOD
 1983   7   1  2.502  781.45  MOD
 1983   7   2 -1.000   -1.00  N/A
 1983   7   3  3.117 2799.36  MOD
 1983   7   4  3.033 2417.36  MOD
 1983   7   5  2.533 1386.15  MOD
 1983   7   6 -1.000   -1.00  N/A
 1983   7   7  2.548  756.37  MOD
 1983   7   8  2.546  774.01  MOD
 1983   7   9  2.762 1239.81  MOD
 1983   7  10 -1.000   -1.00  N/A
 1983   7  11  2.906 2482.77  MOD
 1983   7  12  2.651 1829.17  MOD
 1983   7  13  2.446 1420.98  MOD
 1983   7  14 -1.000   -1.00  N/A
 1983   7  15 -1.000   -1.00  N/A
 1983   7  16  2.485 2191.75  MOD
 1983   7  17  2.363 1589.14  MOD
 1983   7  18 -1.000   -1.00  N/A
 1983   7  19  2.566 2012.10  MOD
 1983   7  20  2.830 2465.67  MOD
 1983   7  21  2.511 1891.27  MOD
 1983   7  22 -1.000   -1.00  N/A
 1983   7  23  2.358 1192.69  MOD
 1983   7  24  2.315  644.08  MOD
 1983   7  25  2.191  624.26  MOD
 1983   7  26 -1.000   -1.00  N/A
 1983   7  27  2.676 2196.75  MOD
 1983   7  28  2.553 2095.98  MOD
 1983   7  29  2.543 1950.16  MOD
 1983   7  30 -1.000   -1.00  N/A
 1983   7  31  2.603 2112.53  MOD
 1983   8   1  2.152  599.49  MOD
 1983   8   2  2.114 1537.68  MOD
 1983   8   3 -1.000   -1.00  N/A
 1983   8   4  2.031 1063.77  MOD
 1983   8   5  2.024  853.35  MOD
 1983   8   6  2.066 1450.25  MOD
 1983   8   7 -1.000   -1.00  N/A
 1983   8   8 -1.000   -1.00  N/A
 1983   8   9  1.803 1009.66  MOD
 1983   8  10  1.850 1404.87  MOD
 1983   8  11 -1.000   -1.00  N/A
 1983   8  12  1.792  994.61  MOD
 1983   8  13  1.758 1267.81  MOD
 1983   8  14  1.693  432.76  MOD
 1983   8  15 -1.000   -1.00  N/A
 1983   8  16  1.550 1132.52  MOD
 1983   8  17  1.623 1210.28  MOD
 1983   8  18  1.498 1141.36  MOD
 1983   8  19  1.493 1053.31  MOD
 1983   8  20  1.398  757.32  MOD
 1983   8  21  1.397  344.93  MOD
 1983   8  22  1.419  737.91  MOD
 1983   8  23  1.304  764.57  MOD
 1983   8  24  1.329  949.49  MOD
 1983   8  25  1.387  956.49  MOD
 1983   8  26  1.270  705.35  MOD
 1983   8  27  1.308  882.15  MOD
 1983   8  28  1.253  267.62  MOD
 1983   8  29  1.389  971.86  MOD
 1983   8  30  1.047  235.69  MOD
 1983   8  31  0.979  488.52  MOD
 1983   9   1 -1.000   -1.00  N/A
 1983   9   2  1.059  686.01  MOD
 1983   9   3  0.909  314.52  MOD
 1983   9   4  1.027  653.72  MOD
 1983   9   5  0.845  283.90  MOD
 1983   9   6  0.803  171.20  MOD
 1983   9   7  0.804  165.49  MOD
 1983   9   8  0.794  493.39  MOD
 1983   9   9  0.723  399.52  MOD
 1983   9  10  0.790  511.41  MOD
 1983   9  11  0.622  299.98  MOD
 1983   9  12  0.636  334.12  MOD
 1983   9  13  0.594  122.55  MOD
 1983   9  14  0.610  369.79  MOD
 1983   9  15  0.571  288.30  MOD
 1983   9  16  0.545  312.70  MOD
 1983   9  17  0.491  150.79  MOD
 1983   9  18  0.500  203.02  MOD
 1983   9  19 -1.000   -1.00  N/A
 1983   9  20  0.437   78.11  MOD
 1983   9  21  0.405   76.31  MOD
 1983   9  22  0.408  110.15  MOD
 1983   9  23  0.352   65.07  MOD
 1983   9  24  0.328  132.42  MOD
 1983   9  25 -1.000   -1.00  N/A
 1983   9  26  0.327   56.89  MOD
 1983   9  27  0.302   52.68  MOD
 1983   9  28  0.297  142.91  MOD
 1983   9  29  0.279   44.98  MOD
 1983   9  30  0.252   42.18  MOD
 1983  10   1 -1.000   -1.00  N/A
 1983  10   2 -1.000   -1.00  N/A
 1983  10   3 -1.000   -1.00  N/A
 1983  10   4 -1.000   -1.00  N/A
 1983  10   5 -1.000   -1.00  N/A
 1983  10   6 -1.000   -1.00  N/A
 1983  10   7 -1.000   -1.00  N/A
 1983  10   8 -1.000   -1.00  N/A
 1983  10   9 -1.000   -1.00  N/A
 1983  10  10 -1.000   -1.00  N/A
 1983  10  11 -1.000   -1.00  N/A
 1983  10  12 -1.000   -1.00  N/A
 1983  10  13 -1.000   -1.00  N/A
 1983  10  14 -1.000   -1.00  N/A
 1983  10  15 -1.000   -1.00  N/A
 1983  10  16 -1.000   -1.00  N/A
 1983  10  17 -1.000   -1.00  N/A
 1983  10  18 -1.000   -1.00  N/A
 1983  10  19 -1.000   -1.00  N/A
 1983  10  20 -1.000   -1.00  N/A
 1983  10  21 -1.000   -1.00  N/A
 1983  10  22 -1.000   -1.00  N/A
 1983  10  23 -1.000   -1.00  N/A
 1983  10  24 -1.000   -1.00  N/A
 1983  10  25 -1.000   -1.00  N/A
 1983  10  26 -1.000   -1.00  N/A
 1983  10  27 -1.000   -1.00  N/A
 1983  10  28 -1.000   -1.00  N/A
 1983  10  29 -1.000   -1.00  N/A
 1983  10  30 -1.000   -1.00  N/A
 1983  10  31 -1.000   -1.00  N/A
 1983  11   1 -1.000   -1.00  N/A
 1983  11   2 -1.000   -1.00  N/A
 1983  11   3 -1.000   -1.00  N/A
 1983  11   4 -1.000   -1.00  N/A
 1983  11   5 -1.000   -1.00  N/A
 1983  11   6 -1.000   -1.00  N/A
 1983  11   7 -1.000   -1.00  N/A
 1983  11   8 -1.000   -1.00  N/A
 1983  11   9 -1.000   -1.00  N/A
 1983  11  10 -1.000   -1.00  N/A
 1983  11  11 -1.000   -1.00  N/A
 1983  11  12 -1.000   -1.00  N/A
 1983  11  13 -1.000   -1.00  N/A
 1983  11  14 -1.000   -1.00  N/A
 1983  11  15 -1.000   -1.00  N/A
 1983  11  16 -1.000   -1.00  N/A
 1983  11  17 -1.000   -1.00  N/A
 1983  11  18 -1.000   -1.00  N/A
 1983  11  19 -1.000   -1.00  N/A
 1983  11  20 -1.000   -1.00  N/A
 1983  11  21 -1.000   -1.00  N/A
 1983  11  22 -1.000   -1.00  N/A
 1983  11  23 -1.000   -1.00  N/A
 1983  11  24 -1.000   -1.00  N/A
 1983  11  25 -1.000   -1.00  N/A
 1983  11  26 -1.000   -1.00  N/A
 1983  11  27 -1.000   -1.00  N/A
 1983  11  28 -1.000   -1.00  N/A
 1983  11  29 -1.000   -1.00  N/A
 1983  11  30 -1.000   -1.00  N/A
 1983  12   1 -1.000   -1.00  N/A
 1983  12   2 -1.000   -1.00  N/A
 1983  12   3 -1.000   -1.00  N/A
 1983  12   4 -1.000   -1.00  N/A
 1983  12   5 -1.000   -1.00  N/A
 1983  12   6 -1.000   -1.00  N/A
 1983  12   7 -1.000   -1.00  N/A
 1983  12   8 -1.000   -1.00  N/A
 1983  12   9 -1.000   -1.00  N/A
 1983  12  10 -1.000   -1.00  N/A
 1983  12  11 -1.000   -1.00  N/A
 1983  12  12 -1.000   -1.00  N/A
 1983  12  13 -1.000   -1.00  N/A
 1983  12  14 -1.000   -1.00  N/A
 1983  12  15 -1.000   -1.00  N/A
 1983  12  16 -1.000   -1.00  N/A
 1983  12  17 -1.000   -1.00  N/A
 1983  12  18 -1.000   -1.00  N/A
 1983  12  19 -1.000   -1.00  N/A
 1983  12  20 -1.000   -1.00  N/A
 1983  12  21 -1.000   -1.00  N/A
 1983  12  22 -1.000   -1.00  N/A
 1983  12  23 -1.000   -1.00  N/A
 1983  12  24 -1.000   -1.00  N/A
 1983  12  25 -1.000   -1.00  N/A
 1983  12  26 -1.000   -1.00  N/A
 1983  12  27 -1.000   -1.00  N/A
 1983  12  28 -1.000   -1.00  N/A
 1983  12  29 -1.000   -1.00  N/A
 1983  12  30 -1.000   -1.00  N/A
 1983  12  31 -1.000   -1.00  N/A
 1984   1   1 -1.000   -1.00  N/A
 1984   1   2 -1.000   -1.00  N/A
 1984   1   3 -1.000   -1.00  N/A
 1984   1   4 -1.000   -1.00  N/A
 1984   1   5 -1.000   -1.00  N/A
 1984   1   6 -1.000   -1.00  N/A
 1984   1   7 -1.000   -1.00  N/A
 1984   1   8 -1.000   -1.00  N/A
 1984   1   9 -1.000   -1.00  N/A
 1984   1  10 -1.000   -1.00  N/A
 1984   1  11 -1.000   -1.00  N/A
 1984   1  12 -1.000   -1.00  N/A
 1984   1  13 -1.000   -1.00  N/A
 1984   1  14 -1.000   -1.00  N/A
 1984   1  15 -1.000   -1.00  N/A
 1984   1  16 -1.000   -1.00  N/A
 1984   1  17 -1.000   -1.00  N/A
 1984   1  18 -1.000   -1.00  N/A
 1984   1  19 -1.000   -1.00  N/A
 1984   1  20 -1.000   -1.00  N/A
 1984   1  21 -1.000   -1.00  N/A
 1984   1  22 -1.000   -1.00  N/A
 1984   1  23 -1.000   -1.00  N/A
 1984   1  24 -1.000   -1.00  N/A
 1984   1  25 -1.000   -1.00  N/A
 1984   1  26 -1.000   -1.00  N/A
 1984   1  27 -1.000   -1.00  N/A
